Date,Open,High,Low,Close,Volume
2025-12-26,189.20,190.10,189.10,190.05,1050000
2025-12-29,190.00,190.20,188.50,188.70,1200000
2025-12-30,188.75,189.80,188.60,189.75,1000000
2025-12-31,189.80,191.00,189.70,190.95,1300000
2026-01-02,191.00,191.20,188.80,189.10,1500000
2026-01-05,189.15,189.90,187.50,187.65,1750000
2026-01-06,187.70,188.10,186.00,186.25,1600000
2026-01-07,186.30,187.40,185.90,187.35,1250000
2026-01-08,187.40,187.50,185.10,185.20,1800000
2026-01-09,185.25,186.30,184.80,186.15,1400000
2026-01-12,186.20,187.90,186.10,187.85,1350000
2026-01-13,187.90,188.20,186.50,186.70,1150000
2026-01-14,186.75,187.00,184.90,185.15,1700000
2026-01-15,185.20,186.40,185.00,186.30,1200000
2026-01-16,186.35,187.80,186.20,187.75,1300000
2026-01-20,187.80,188.90,187.70,188.85,1100000
2026-01-21,188.90,189.00,187.20,187.40,1450000
2026-01-22,187.45,188.50,186.90,188.45,1250000
2026-01-23,188.50,189.60,188.40,189.55,1050000
2026-01-26,189.60,190.80,189.50,190.75,1350000
2026-01-27,190.80,191.90,190.70,191.85,1500000
2026-01-28,191.90,192.00,189.90,190.10,1750000
2026-01-29,190.15,191.30,190.00,191.25,1200000
2026-01-30,191.30,192.50,191.20,192.45,1600000
2026-02-02,192.50,193.10,191.80,192.90,1300000
2026-02-03,192.90,194.50,192.80,194.20,1450000
2026-02-04,194.20,194.30,192.10,192.50,1200000
2026-02-05,192.55,193.60,191.90,193.55,1100000
2026-02-06,193.50,193.80,190.50,190.80,1700000
2026-02-09,190.80,191.20,189.50,189.75,1550000
2026-02-10,189.70,190.80,189.60,190.70,1150000
2026-02-11,190.75,192.10,190.50,191.90,1250000
2026-02-12,191.90,192.00,190.10,190.30,1350000
2026-02-13,190.35,191.40,190.20,191.35,1050000
2026-02-17,191.40,192.80,191.30,192.75,1200000
2026-02-18,192.70,193.50,192.60,193.45,1100000
2026-02-19,193.50,193.60,191.20,191.50,1500000
2026-02-20,191.55,192.90,191.40,192.85,1300000
2026-02-23,192.80,193.10,189.90,190.20,1800000
2026-02-24,190.25,191.30,190.10,191.25,1100000
2026-02-25,191.30,192.70,191.20,192.60,1000000
2026-02-26,192.60,192.80,190.40,190.50,1400000
2026-02-27,190.55,191.90,190.50,191.80,1200000
2026-03-02,191.80,192.00,188.50,188.75,1900000
2026-03-03,188.80,189.20,186.50,186.70,2100000
2026-03-04,186.70,187.80,185.90,187.75,1600000
2026-03-05,187.70,188.10,186.00,186.20,1500000
2026-03-06,186.25,187.40,186.10,187.35,1300000
2026-03-09,187.40,189.50,187.30,189.45,1400000
2026-03-10,189.50,191.20,189.40,191.10,1500000
2026-03-11,191.10,191.30,189.00,189.25,1700000
2026-03-12,189.30,190.70,189.20,190.65,1200000
2026-03-13,190.70,192.40,190.60,192.35,1400000
2026-03-16,192.40,194.10,192.30,194.00,1600000
2026-03-17,194.00,194.20,192.50,192.75,1300000
2026-03-18,192.80,193.90,192.70,193.85,1100000
2026-03-19,193.90,195.80,193.80,195.75,1700000
2026-03-20,195.80,196.90,195.70,196.85,1500000
2026-03-23,196.90,197.00,195.10,195.30,1400000
2026-03-24,195.35,196.70,195.20,196.65,1200000
2026-03-25,196.70,198.40,196.60,198.35,1600000
2026-03-26,198.40,200.10,198.30,200.05,2000000
2026-03-27,200.10,201.50,200.00,201.45,1800000
2026-03-30,201.50,202.80,201.40,202.75,1700000
2026-03-31,202.80,203.00,201.10,201.35,1500000
2026-04-01,201.40,202.90,201.30,202.85,1300000
2026-04-02,202.90,204.60,202.80,204.55,1600000
2026-04-03,204.60,205.80,204.50,205.75,1500000
2026-04-06,205.80,206.00,204.10,204.30,1400000
2026-04-07,204.35,205.70,204.20,205.65,1200000
2026-04-08,205.70,207.40,205.60,207.35,1600000
2026-04-09,207.40,209.10,207.30,209.05,2000000
2026-04-10,209.10,210.50,209.00,210.45,1800000
2026-04-13,210.50,211.80,210.40,211.75,1700000
2026-04-14,211.80,212.00,210.10,210.35,1500000
2026-04-15,210.40,211.90,210.30,211.85,1300000
2026-04-16,211.90,213.60,211.80,213.55,1600000
2026-04-17,213.60,214.80,213.50,214.75,1500000
2026-04-20,214.80,215.00,213.10,213.30,1400000
2026-04-21,213.35,214.70,213.20,214.65,1200000
2026-04-22,214.70,216.40,214.60,216.35,1600000
2026-04-23,216.40,218.10,216.30,218.05,2000000
2026-04-24,218.10,219.50,218.00,219.45,1800000
2026-04-27,219.50,220.80,219.40,220.75,1700000
2026-04-28,220.80,221.00,219.10,219.35,1500000
2026-04-29,219.40,220.90,219.30,220.85,1300000
2026-04-30,220.90,222.60,220.80,222.55,1600000
2026-05-01,222.60,223.80,222.50,223.75,1500000
2026-05-04,223.80,224.00,222.10,222.30,1400000
2026-05-05,222.35,223.70,222.20,223.65,1200000
2026-05-06,223.70,225.40,223.60,225.35,1600000
2026-05-07,225.40,227.10,225.30,227.05,2000000
2026-05-08,227.10,228.50,227.00,228.45,1800000
2026-05-11,228.50,229.80,228.40,229.75,1700000
2026-05-12,229.80,230.00,228.10,228.35,1500000
2026-05-13,228.40,229.90,228.30,229.85,1300000
2026-05-14,229.90,231.60,229.80,231.55,1600000
2026-05-15,231.60,232.80,231.50,232.75,1500000
2026-05-18,232.80,233.00,231.10,231.30,1400000
2026-05-19,231.35,232.70,231.20,232.65,1200000
2026-05-20,232.70,234.40,232.60,234.35,1600000
2026-05-21,234.40,236.10,234.30,236.05,2000000
2026-05-22,236.10,237.50,236.00,237.45,1800000
2026-05-26,237.50,238.80,237.40,238.75,1700000
2026-05-27,238.80,239.00,237.10,237.35,1500000
2026-05-28,237.40,238.90,237.30,238.85,1300000
2026-05-29,238.90,240.60,238.80,240.55,1600000
2026-06-01,240.60,241.80,240.50,241.75,1500000
2026-06-02,241.80,242.00,240.10,240.30,1400000
2026-06-03,240.35,241.70,240.20,241.65,1200000
2026-06-04,241.70,243.40,241.60,243.35,1600000
2026-06-05,243.40,245.10,243.30,245.05,2000000
2026-06-08,245.10,246.50,245.00,246.45,1800000
2026-06-09,246.50,247.80,246.40,247.75,1700000
2026-06-10,247.80,248.00,246.10,246.35,1500000
2026-06-11,246.40,247.90,246.30,247.85,1300000
2026-06-12,247.90,249.60,247.80,249.55,1600000
2026-06-15,249.60,250.80,249.50,250.75,1500000
2026-06-16,250.80,251.00,249.10,249.30,1400000
2026-06-17,249.35,250.70,249.20,250.65,1200000
2026-06-18,250.70,252.40,250.60,252.35,1600000
2026-06-19,252.40,254.10,252.30,254.05,2000000
2026-06-22,254.10,255.50,254.00,255.45,1800000
2026-06-23,255.50,256.80,255.40,256.75,1700000
2026-06-24,256.80,257.00,255.10,255.35,1500000
2026-06-25,255.40,256.90,255.30,256.85,1300000
2026-06-26,256.90,258.60,256.80,258.55,1600000
2026-06-29,258.60,259.80,258.50,259.75,1500000
2026-06-30,259.80,260.00,258.10,258.30,1400000
2026-07-01,258.35,259.70,258.20,259.65,1200000
2026-07-02,259.70,261.40,259.60,261.35,1600000
2026-07-03,261.40,263.10,261.30,263.05,2000000
2026-07-06,263.10,264.50,263.00,264.45,1800000
2026-07-07,264.50,265.80,264.40,265.75,1700000
2026-07-08,265.80,266.00,264.10,264.35,1500000
2026-07-09,264.40,265.90,264.30,265.85,1300000
2026-07-10,265.90,267.60,265.80,267.55,1600000
2026-07-13,267.60,268.80,267.50,268.75,1500000
2026-07-14,268.80,269.00,267.10,267.30,1400000
2026-07-15,267.35,268.70,267.20,268.65,1200000
2026-07-16,268.70,270.40,268.60,270.35,1600000
2026-07-17,270.40,272.10,270.30,272.05,2000000
2026-07-20,272.10,273.50,272.00,273.45,1800000
2026-07-21,273.50,274.80,273.40,274.75,1700000
2026-07-22,274.80,275.00,273.10,273.35,1500000
2026-07-23,273.40,274.90,273.30,274.85,1300000
2026-07-24,274.90,276.60,274.80,276.55,1600000
2026-07-27,276.60,277.80,276.50,277.75,1500000
2026-07-28,277.80,278.00,276.10,276.30,1400000
2026-07-29,276.35,277.70,276.20,277.65,1200000
2026-07-30,277.70,279.40,277.60,279.35,1600000
2026-07-31,279.40,281.10,279.30,281.05,2000000
